SYMBOL,NAME OF COMPANY
TCS,Tata Consultancy Services Ltd
TDPOWERSYS,Td Power Systems Ltd
TEAMGTY,Team India Guaranty Ltd
TEAMLEASE,Teamlease Services Ltd
TECHM,Tech Mahindra Ltd
TECHNOE,Techno Electric & Engineering Company Ltd
TECILCHEM,Tecil Chemicals And Hydro Power Ltd
TEGA,Tega Industries Ltd
TEJASNET,Tejas Networks Ltd
TEMBO,Tembo Global Industries Ltd
TENNIND,Tenneco Clean Air India Ltd
TERASOFT,Tera Software Ltd
TEXINFRA,Texmaco Infrastructure & Holdings Ltd
TEXMOPIPES,Texmo Pipes And Products Ltd
TEXRAIL,Texmaco Rail & Engineering Ltd
TFCILTD,Tourism Finance Corporation Of India Ltd
TFL,Transwarranty Finance Ltd
TGBHOTELS,Tgb Banquets And Hotels Ltd
THANGAMAYL,Thangamayil Jewellery Ltd
THEINVEST,The Investment Trust Of India Ltd
THEJO,Thejo Engineering Ltd
THELEELA,Leela Palaces Hotels & Resorts Ltd
THEMISMED,Themis Medicare Ltd
THERMAX,Thermax Ltd
THOMASCOOK,Thomas Cook  (India)  Ltd
THOMASCOTT,Thomas Scott (India) Ltd
THYROCARE,Thyrocare Technologies Ltd
TI,Tilaknagar Industries Ltd
TICL,Twamev Construction And Infrastructure Ltd
TIGERLOGS,Tiger Logistics (India) Ltd
TIIL,Technocraft Industries (India) Ltd
TIINDIA,Tube Investments Of India Ltd
TIJARIA,Tijaria Polypipes Ltd
TIL,Til Ltd
TIMETECHNO,Time Technoplast Ltd
TIMKEN,Timken India Ltd
TINNARUBR,Tinna Rubber And Infrastructure Ltd
TIPSFILMS,Tips Films Ltd
TIPSMUSIC,Tips Music Ltd
TIRUMALCHM,Thirumalai Chemicals Ltd
TIRUPATIFL,Tirupati Forge Ltd
TITAGARH,Titagarh Rail Systems Ltd
TITAN,Titan Company Ltd
TMB,Tamilnad Mercantile Bank Ltd
TMCV,Tata Motors Ltd
TMPV,Tata Motors Passenger Vehicles Ltd
TNPETRO,Tamilnadu Petroproducts Ltd
TNPL,Tamil Nadu Newsprint & Papers Ltd
TNTELE,Tamilnadu Telecommunication Ltd
TOKYOPLAST,Tokyo Plast International Ltd
TOLINS,Tolins Tyres Ltd
TORNTPHARM,Torrent Pharmaceuticals Ltd
TORNTPOWER,Torrent Power Ltd
TOTAL,Total Transport Systems Ltd
TOUCHWOOD,Touchwood Entertainment Ltd
TPHQ,Teamo Productions Hq Ltd
TPLPLASTEH,Tpl Plastech Ltd
TRACXN,Tracxn Technologies Ltd
TRANSRAILL,Transrail Lighting Ltd
TRANSWORLD,Transworld Shipping Lines Ltd
TRAVELFOOD,Travel Food Services Ltd
TREEHOUSE,Tree House Education & Accessories Ltd
TREJHARA,Trejhara Solutions Ltd
TREL,Transindia Real Estate Ltd
TRENT,Trent Ltd
TRF,Trf Ltd
TRIDENT,Trident Ltd
TRIGYN,Trigyn Technologies Ltd
TRITURBINE,Triveni Turbine Ltd
TRIVENI,Triveni Engineering & Industries Ltd
TRU,Trucap Finance Ltd
TRUALT,Trualt Bioenergy Ltd
TSFINV,Tsf Investments Ltd
TTKHLTCARE,Ttk Healthcare Ltd
TTKPRESTIG,Ttk Prestige Ltd
TTL,T T Ltd
TTML,Tata Teleservices (Maharashtra) Ltd
TVSELECT,Tvs Electronics Ltd
TVSHLTD,Tvs Holdings Ltd
TVSMOTOR,Tvs Motor Company Ltd
TVSSCS,Tvs Supply Chain Solutions Ltd
TVSSRICHAK,Tvs Srichakra Ltd
TVTODAY,Tv Today Network Ltd
TVVISION,Tv Vision Ltd
UBL,United Breweries Ltd
UCAL,Ucal Ltd
UCOBANK,Uco Bank
UDS,Updater Services Ltd
UEL,Ujaas Energy Ltd
UFBL,United Foodbrands Ltd
UFLEX,Uflex Ltd
UFO,Ufo Moviez India Ltd
UGARSUGAR,The Ugar Sugar Works Ltd
UGROCAP,Ugro Capital Ltd
UJJIVANSFB,Ujjivan Small Finance Bank Ltd
ULTRACEMCO,Ultratech Cement Ltd
UMAEXPORTS,Uma Exports Ltd
UMESLTD,Usha Martin Education & Solutions Ltd
UMIYA-MRO,Umiya Buildcon Ltd
UNICHEMLAB,Unichem Laboratories Ltd
UNIDT,United Drilling Tools Ltd
UNIECOM,Unicommerce Esolutions Ltd
UNIENTER,Uniphos Enterprises Ltd
UNIINFO,Uniinfo Telecom Services Ltd
UNIMECH,Unimech Aerospace And Manufacturing Ltd
UNIONBANK,Union Bank Of India
UNIPARTS,Uniparts India Ltd
UNITDSPR,United Spirits Ltd
UNITECH,Unitech Ltd
UNITEDPOLY,United Polyfab Gujarat Ltd
UNITEDTEA,The United Nilgiri Tea Estates Company Ltd
UNIVASTU,Univastu India Ltd
UNIVCABLES,Universal Cables Ltd
UNIVPHOTO,Universus Photo Imagings Ltd
UNOMINDA,Uno Minda Ltd
UPL,Upl Ltd
URAVIDEF,Uravi Defence And Technology Ltd
URBANCO,Urban Company Ltd
URJA,Urja Global Ltd
USHAMART,Usha Martin Ltd
USK,Udayshivakumar Infra Ltd
UTIAMC,Uti Asset Management Company Ltd
UTKARSHBNK,Utkarsh Small Finance Bank Ltd
UTLSOLAR,Fujiyama Power Systems Ltd
UTTAMSUGAR,Uttam Sugar Mills Ltd
UYFINCORP,U. Y. Fincorp Ltd
V2RETAIL,V2 Retail Ltd
VADILALIND,Vadilal Industries Ltd
VAIBHAVGBL,Vaibhav Global Ltd
VAISHALI,Vaishali Pharma Ltd
VAKRANGEE,Vakrangee Ltd
VALIANTLAB,Valiant Laboratories Ltd
VALIANTORG,Valiant Organics Ltd
VARDHACRLC,Vardhman Acrylics Ltd
VARDMNPOLY,Vardhman Polytex Ltd
VARROC,Varroc Engineering Ltd
VASCONEQ,Vascon Engineers Ltd
VASWANI,Vaswani Industries Ltd
VBL,Varun Beverages Ltd
VCL,Vaxtex Cotfab Ltd
VEDL,Vedanta Ltd
VEEDOL,Veedol Corporation Ltd
VENKEYS,Venky'S (India) Ltd
VENTIVE,Ventive Hospitality Ltd
VENUSPIPES,Venus Pipes & Tubes Ltd
VENUSREM,Venus Remedies Ltd
VERANDA,Veranda Learning Solutions Ltd
VERTOZ,Vertoz Ltd
VESUVIUS,Vesuvius India Ltd
VETO,Veto Switchgears And Cables Ltd
VGL,Varvee Global Ltd
VGUARD,V-Guard Industries Ltd
VHL,Vardhman Holdings Ltd
VHLTD,Viceroy Hotels Ltd
VIDHIING,Vidhi Specialty Food Ingredients Ltd
VIDYAWIRES,Vidya Wires Ltd
VIJAYA,Vijaya Diagnostic Centre Ltd
VIJIFIN,Viji Finance Ltd
VIKASECO,Vikas Ecotech Ltd
VIKASLIFE,Vikas Lifecare Ltd
VIKRAMSOLR,Vikram Solar Ltd
VIKRAN,Vikran Engineering Ltd
VIMTALABS,Vimta Labs Ltd
VINATIORGA,Vinati Organics Ltd
VINCOFE,Vintage Coffee And Beverages Ltd
VINDHYATEL,Vindhya Telelinks Ltd
VINEETLAB,Vineet Laboratories Ltd
VINNY,Vinny Overseas Ltd
VINYLINDIA,Vinyl Chemicals (India) Ltd
VIPCLOTHNG,Vip Clothing Ltd
VIPIND,Vip Industries Ltd
VIPULLTD,Vipul Ltd
VIRINCHI,Virinchi Ltd
VISAKAIND,Visaka Industries Ltd
VISASTEEL,Visa Steel Ltd
VISHNU,Vishnu Chemicals Ltd
VISHWARAJ,Vishwaraj Sugar Industries Ltd
VIVIDHA,Visagar Polytex Ltd
VIVIMEDLAB,Vivimed Labs Ltd
VIYASH,Viyash Scientific Ltd
VLEGOV,Vl E-Governance & It Solutions Ltd
VLSFINANCE,Vls Finance Ltd
VMART,V-Mart Retail Ltd
VMM,Vishal Mega Mart Ltd
VMSTMT,Vms Tmt Ltd
VOLTAMP,Voltamp Transformers Ltd
VOLTAS,Voltas Ltd
VPRPL,Vishnu Prakash R Punglia Ltd
VRAJ,Vraj Iron And Steel Ltd
VRLLOG,Vrl Logistics Ltd
VSSL,Vardhman Special Steels Ltd
VSTIND,Vst Industries Ltd
VSTL,Vibhor Steel Tubes Ltd
VSTTILLERS,V.S.T Tillers Tractors Ltd
VTL,Vardhman Textiles Ltd
WAAREEENER,Waaree Energies Ltd
WAAREEINDO,Indosolar Ltd
WAAREERTL,Waaree Renewable Technologies Ltd
WABAG,Va Tech Wabag Ltd
WAKEFIT,Wakefit Innovations Ltd
WALCHANNAG,Walchandnagar Industries Ltd
WANBURY,Wanbury Ltd
WCIL,Western Carriers (India) Ltd
WEALTH,Wealth First Portfolio Managers Ltd
WEBELSOLAR,Websol Energy System Ltd
WEIZMANIND,Weizmann Ltd
WEL,Wonder Electricals Ltd
WELCORP,Welspun Corp Ltd
WELENT,Welspun Enterprises Ltd
WELINV,Welspun Investments And Commercials Ltd
WELSPUNLIV,Welspun Living Ltd
WENDT,Wendt (India) Ltd
WESTLIFE,Westlife Foodworld Ltd
WEWIN,We Win Ltd
WEWORK,Wework India Management Ltd
WHEELS,Wheels India Ltd
WHIRLPOOL,Whirlpool Of India Ltd
WILLAMAGOR,Williamson Magor & Company Ltd
WINDLAS,Windlas Biotech Ltd
WINDMACHIN,Windsor Machines Ltd
WINSOME,Winsome Yarns Ltd
WIPL,The Western India Plywoods Ltd
WIPRO,Wipro Ltd
WOCKPHARMA,Wockhardt Ltd
WONDERLA,Wonderla Holidays Ltd
WORTHPERI,Worth Peripherals Ltd
WSI,W S Industries (I) Ltd
WSTCSTPAPR,West Coast Paper Mills Ltd
XCHANGING,Xchanging Solutions Ltd
XELPMOC,Xelpmoc Design And Tech Ltd
XPROINDIA,Xpro India Ltd
XTGLOBAL,Xtglobal Infotech Ltd
YASHO,Yasho Industries Ltd
YATHARTH,Yatharth Hospital & Trauma Care Services Ltd
YATRA,Yatra Online Ltd
YESBANK,Yes Bank Ltd
YUKEN,Yuken India Ltd
ZAGGLE,Zaggle Prepaid Ocean Services Ltd
ZEEL,Zee Entertainment Enterprises Ltd
ZEELEARN,Zee Learn Ltd
ZEEMEDIA,Zee Media Corporation Ltd
ZENITHEXPO,Zenith Exports Ltd
ZENITHSTL,Zenith Steel Pipes & Industries Ltd
ZENSARTECH,Zensar Technologies Ltd
ZENTEC,Zen Technologies Ltd
ZFCVINDIA,Zf Commercial Vehicle Control Systems India Ltd
ZIMLAB,Zim Laboratories Ltd
ZODIAC,Zodiac Energy Ltd
ZODIACLOTH,Zodiac Clothing Company Ltd
ZOTA,Zota Health Care Ltd
ZUARI,Zuari Agro Chemicals Ltd
ZUARIIND,Zuari Industries Ltd
ZYDUSLIFE,Zydus Lifesciences Ltd
ZYDUSWELL,Zydus Wellness Ltd
